YEAR MONTH EURO NHAFR SHSA CEAS EQAS AUST MIDE CEAM SEAS BONA TENA SHAFR NHSA BOAS GLOBAL 
2001 12 265.74744 367494.56 7036.5112 130.51247 129.65384 85722.438 52.591373 90.156639 320.91470 0.0000000 182.03055 5116.1748 2666.9192 24.471088 469232.69 
2002 01 129.43918 278085.38 12304.450 377.79926 332.93561 44801.840 362.77316 189.32895 20006.188 0.0000000 472.89304 5879.2866 7979.2920 0.0000000 370921.59 
2002 02 121.49681 138086.06 6203.4209 886.96960 374.36472 13550.114 16.958035 533.64148 9186.9619 0.0000000 342.59525 3735.2756 13787.097 81.784950 186906.73 
2002 03 139.74280 45809.879 3715.3123 2405.6797 495.43222 10171.601 102.60685 2338.7063 11588.992 0.0000000 496.07620 8956.8477 3714.8831 4894.0029 94829.766 
2002 04 46.366272 19929.340 1901.2319 2009.6345 162.28197 38935.648 215.94662 6088.7930 6566.8379 83.072906 303.74203 24290.775 272.40186 6362.9126 107168.99 
2002 05 3.8638561 7725.3511 1924.6298 946.00079 65.256233 46397.184 343.66852 7828.6016 705.36841 1372.5275 959.52423 132129.06 0.0000000 9903.7070 210304.75 
2002 06 78.135757 2101.2937 6976.1924 3381.9475 142.31870 27586.430 476.54224 850.04834 115.48637 7349.9131 4434.8481 169207.92 30.696190 4462.3247 227194.09 
2002 07 629.37921 1445.7262 20715.420 26405.379 1361.7946 33296.137 502.73062 226.03558 309.75247 16773.857 4102.1274 312944.00 306.96191 16722.555 435741.88 
2002 08 660.29010 1027.1417 94374.258 115813.51 6464.0166 56422.816 475.46896 132.01508 319.41211 3924.1753 2497.9829 331234.22 883.32043 27294.709 641523.31 
2002 09 206.07233 7126.4531 92149.961 93903.727 11960.137 69769.867 222.60104 115.91568 70.622704 49.371494 798.74493 254676.20 1582.8929 17190.939 549823.50 
2002 10 92.732544 45080.684 57188.074 16422.031 8157.0293 191322.05 39.067879 15.455424 44.434345 62.894993 266.60608 132448.69 1913.6821 3488.2034 456541.66 
2002 11 28.549603 162454.55 21179.082 2072.5295 954.80176 162194.16 19.963257 72.983948 51.088764 201.34982 564.33765 26884.281 3149.2573 94.879135 379921.81 
2002 12 0.0000000 452664.91 6291.8604 96.381744 365.99304 74355.828 85.219490 154.76891 1058.6967 1.0732934 256.73178 4055.3315 8096.4956 0.0000000 547483.31 
2003 01 18.675304 345719.81 7952.8892 1608.0081 227.10889 29084.963 59.889771 349.89365 15382.870 8.3716879 852.19495 5966.4380 22031.062 0.0000000 429262.19 
2003 02 115.05705 113287.83 6817.1299 946.85938 357.83600 7207.5942 26.832335 1143.2721 16444.357 0.0000000 615.42639 11613.893 17553.498 80.711662 176210.30 
2003 03 1108.0681 42518.945 3190.0425 8983.0361 466.23865 2569.4644 94.664474 11862.897 27445.398 84.575516 2047.8438 11092.058 21540.354 32882.918 165886.50 
2003 04 354.18680 18168.711 3294.3667 12890.683 234.19261 7732.8638 79.853027 7365.7979 14628.345 186.32373 2188.0159 17829.764 4369.1626 23219.629 112541.89 
2003 05 2.1465867 7900.0830 5304.2158 21094.938 684.54651 32727.506 60.319088 19930.199 1688.7198 267.89401 324.56390 152397.34 284.85205 63486.590 306153.94 
2003 06 120.42352 511.53162 7347.9810 5197.5303 1222.6958 22278.994 466.66794 1064.0630 750.66138 5067.4473 981.84875 186779.02 22.753819 20623.117 252434.73 
2003 07 891.26282 593.96057 30930.168 6241.2007 626.58868 16025.343 1257.2559 446.06073 35.418682 3955.5154 2656.1863 314820.56 252.65326 23355.938 402088.12 
2003 08 5161.4678 696.56738 56227.691 15637.670 2225.1519 14017.855 743.14832 102.82150 180.31328 8612.5352 3109.3308 421886.09 522.04987 14782.255 543904.94 
2003 09 759.89172 4225.1265 79883.508 32462.830 2775.7512 31653.139 213.37073 34.130730 209.50687 1518.2808 1102.9163 245023.44 391.10809 8090.4854 408343.47 
2003 10 17.172693 54416.617 27705.779 37652.848 1539.9613 69829.969 53.235352 85.219490 91.015274 312.75769 3070.6924 171542.33 1071.3615 3149.6868 370538.66 
2003 11 7.7277122 165798.70 15884.527 919.38312 970.47186 70995.352 6.6544189 75.989166 225.17696 82.428932 1070.0735 21553.020 1769.4314 89.941986 279448.88 
2003 12 0.0000000 483872.62 8760.8643 1630.3326 141.67471 11685.803 281.84683 211.00948 2824.2642 8.8010054 356.97736 3925.4631 3548.5225 147.89983 517396.09 
2004 01 10.518275 229121.73 5740.4023 404.41693 254.37053 4578.0254 563.90833 478.68884 22790.098 0.0000000 581.08105 3595.9622 21407.266 39.926514 289566.38 
