YEAR MONTH EURO NHAFR SHSA CEAS EQAS AUST MIDE CEAM SEAS BONA TENA SHAFR NHSA BOAS GLOBAL 
2001 12 270.68460 421642.66 7634.7651 165.71649 176.66409 85738.109 55.167278 478.47418 1272.2819 0.0000000 268.96732 5206.3315 2678.5110 25.973700 525614.31 
2002 01 155.62753 320700.06 13052.106 413.43259 422.87759 44826.098 393.89865 675.74548 25009.453 0.0000000 697.42603 6118.8452 8066.4434 0.0000000 420532.00 
2002 02 163.99924 154315.55 7044.2388 1628.4008 469.24387 13622.239 31.769484 1072.4347 12124.780 0.0000000 416.86713 3897.9868 13905.159 85.863472 208778.53 
2002 03 224.53297 55423.797 5246.2578 11167.832 539.00793 10317.569 154.76891 2970.8760 14970.081 0.0000000 600.18567 9400.7617 3810.1914 5155.0278 119980.89 
2002 04 74.701218 25576.795 2576.5481 3472.9626 189.11429 39411.762 349.89365 6680.6074 8357.0918 98.099014 414.93521 24768.391 272.61652 9389.1699 121632.69 
2002 05 9.4449816 9973.4717 3887.0393 2712.4270 94.020500 46554.527 524.62579 8616.1846 6030.4062 1662.1021 1248.6696 134477.86 0.0000000 12957.871 228748.66 
2002 06 334.86752 2497.5537 9808.3984 12090.435 204.56972 27647.822 2573.9722 1121.8062 128.79520 7352.4888 4612.3711 171781.25 32.413460 4507.6177 244694.36 
2002 07 2257.5652 1964.5562 25337.881 47448.797 1573.6627 33325.543 1875.6875 763.11157 401.84103 16784.807 4655.0879 317394.31 330.14505 17137.703 471250.69 
2002 08 1986.8807 1129.9633 100852.23 139933.20 6928.3232 56452.012 1883.8445 159.06207 480.83542 4020.3423 2824.2642 335115.66 897.48792 29107.287 681771.38 
2002 09 797.88629 8124.4014 98095.367 106110.93 12333.858 69776.945 1761.4891 127.72191 2753.8562 162.06731 1832.3264 257260.05 1679.9188 18672.514 579489.31 
2002 10 409.35410 69280.875 62907.871 18160.123 8397.2324 191353.81 775.77643 37.779926 7894.7168 272.61652 707.08569 133375.38 2101.7231 3989.6460 499664.00 
2002 11 51.088764 216400.41 23098.133 3009.2998 1022.2046 162231.30 485.98724 457.43762 1649.8666 201.34982 857.77606 27235.248 3183.3882 116.34500 439999.84 
2002 12 0.0000000 524782.94 7758.1938 171.29762 409.99805 74444.055 237.84181 555.10730 2094.2100 1.0732934 355.47476 4250.4565 8153.8096 0.0000000 623214.44 
2003 01 50.015472 386820.50 9155.4072 1902.9491 402.05569 29131.113 95.737770 903.06903 20695.457 8.3716879 1156.7957 6190.3267 22159.645 0.0000000 478671.44 
2003 02 121.06749 133049.52 8190.9458 1838.3369 434.03983 7263.6201 74.057243 1878.4780 20957.127 0.0000000 708.80292 12172.649 17784.256 83.716881 204556.62 
2003 03 1532.4482 51786.836 4833.8984 12847.966 522.04987 2623.9875 194.05144 12662.500 34238.488 84.575516 2238.4607 11956.917 21981.906 34653.422 192157.52 
2003 04 367.71030 23152.439 4819.7310 20716.494 289.57455 8073.3125 149.83176 7999.4702 18710.078 273.26050 2595.4380 18614.771 4489.5859 25550.607 135802.31 
2003 05 19.748598 9810.7598 7848.9941 23506.197 859.49335 32952.469 380.37518 21278.256 7185.0552 317.69482 413.43259 154788.44 285.71069 66101.562 325748.19 
2003 06 258.44904 679.60938 12000.708 12322.696 1434.7786 22288.439 3225.6758 1355.7842 867.65033 5077.5361 1385.8364 188187.19 26.832335 20836.488 269947.66 
2003 07 1614.0186 671.23767 35894.148 8240.5322 775.77643 16031.568 2594.3647 762.03827 256.73178 3988.3582 4422.3979 317172.38 265.10345 23452.748 416141.38 
2003 08 6318.6929 766.97546 61903.695 18634.949 2399.0254 14026.656 1910.8915 124.71669 285.28137 8909.6230 3509.6692 427096.50 588.37939 16022.982 562498.00 
2003 09 2867.4104 5178.2109 86413.422 39381.066 2965.5095 31676.322 1211.7482 43.575710 2319.1724 1588.6888 2434.6587 248144.34 457.86694 9927.5342 434609.53 
2003 10 776.84973 73673.648 30947.127 47931.992 1646.8613 69860.883 631.52582 101.96287 8553.9336 488.77780 5559.0156 173742.16 1150.3558 5544.6333 420609.72 
2003 11 11.806227 223316.72 18277.113 1373.1715 1021.9899 71079.930 287.42795 236.55386 2463.2083 82.428932 1412.0247 21915.793 1797.1224 122.57010 343397.84 
2003 12 0.0000000 559781.75 9899.1992 1707.3951 257.59042 11768.018 342.38058 753.02264 4839.2651 8.8010054 671.45233 4517.0625 3611.6321 154.33958 598311.88 
2004 01 10.732934 265367.50 6550.7388 683.04388 528.27496 4609.3657 570.34808 1344.1926 30799.441 0.0000000 709.01758 3675.1711 21555.596 41.643784 336445.06 
2004 02 127.29259 188371.14 5627.4917 4398.5708 330.57437 829.01178 155.62753 2185.6545 26624.760 1.7172694 1285.3761 4787.5322 26347.635 12.450203 261084.84 
2004 03 348.82034 76171.633 9636.4570 4139.4780 354.83078 2140.3616 94.449814 3698.1396 78481.141 202.20847 3583.5120 8708.4873 9787.5771 504.23322 197851.33 
2004 04 224.53297 26855.303 3762.1079 12877.159 388.96152 14227.147 193.40746 6179.8086 12544.009 136.73756 1461.6108 12640.820 1286.0201 18819.340 111596.97 
2004 05 54.952621 14420.770 5618.9053 12456.428 430.60529 12514.171 563.04968 3208.5032 10420.605 85.863472 650.41577 143510.48 27.261650 33302.789 237264.81 
2004 06 382.73642 3979.5571 15707.004 87204.656 1020.0580 25522.057 2628.0662 834.59290 630.88184 11924.504 1097.1205 245331.69 45.507637 1038.5187 397346.94 
2004 07 2838.0022 3047.0798 23175.623 23208.467 1164.7380 31233.910 1586.5422 569.48944 154.55424 16921.973 2476.3025 299522.91 160.56470 4475.4185 410535.56 
2004 08 2746.9871 461.51614 65381.383 34700.863 8167.3330 37909.578 1844.3473 218.73718 381.66312 13791.605 1366.9464 354855.69 424.16553 1546.4011 523797.22 
2004 09 2660.2649 7970.7056 134477.00 24711.721 8334.5527 92825.062 1851.6458 104.32411 1225.2717 933.97986 3448.0623 325697.31 808.40454 1199.9420 606248.25 
2004 10 677.89209 127964.47 35763.207 19594.258 11468.354 218685.23 864.64514 140.17210 10433.699 119.77954 1516.5635 128022.22 1442.5063 4560.8530 561253.88 
2004 11 124.93135 263890.22 16318.352 2528.8938 1349.1298 147990.62 227.32353 531.28021 3946.0703 86.078125 705.36841 23815.092 4066.4939 2528.6792 468108.53 
2004 12 17.387352 410841.88 11010.917 1237.5072 118.49159 51472.789 314.26031 1132.9685 15027.395 0.0000000 851.12164 2964.6509 6954.5117 0.0000000 501943.88 
2005 01 120.42352 433607.31 4913.9663 964.89075 897.70258 9323.4844 372.64746 1369.0930 26561.863 14.167472 920.24176 4752.5430 9801.1006 0.0000000 493619.41 
2005 02 32.842777 133817.56 9163.7783 3289.8589 1441.6476 8756.7861 216.59061 3568.4858 34234.195 157.34480 1315.4283 11784.546 8061.2920 26.617676 215866.98 
2005 03 924.53491 51178.707 12281.052 9488.1279 1138.7643 5270.2998 160.13538 10728.855 29200.879 37.779926 2381.8525 5944.1133 17963.066 11847.871 158546.05 
2005 04 46.366272 25613.072 3688.2654 17454.971 435.54245 19008.455 136.52292 13169.954 15952.145 362.77316 3606.9097 42266.723 2066.5190 8043.2603 151851.48 
2005 05 26.188358 10058.261 5670.8530 10075.649 265.74744 38782.168 886.32568 12393.533 12170.073 812.48309 569.27478 125841.07 150.90504 4670.3286 222372.86 
2005 06 322.63199 1438.4279 7663.5293 36152.812 702.79248 16921.758 2686.8826 3068.5457 1371.4543 9245.1348 5176.0645 258867.84 271.54321 867.22107 344756.62 
2005 07 2049.5610 1255.1093 31774.635 85905.109 875.37805 19431.547 1480.0715 856.70276 153.05164 8449.1797 4845.2754 364974.47 468.38522 7751.1099 530269.62 
2005 08 5039.3271 290.86249 100855.23 30438.600 2466.2134 23203.314 1421.8990 106.04138 331.00366 9956.7275 2608.5322 383955.66 637.32159 4623.1040 565933.88 
2005 09 1149.9265 5469.7178 109328.02 33677.586 2939.3213 30312.811 1187.7064 61.607040 2317.8843 445.20209 2487.2500 303054.91 1329.3812 5285.9697 499047.28 
2005 10 740.35779 96237.281 45440.879 38289.742 1347.6271 49380.082 932.90662 78.135757 5782.6899 337.01413 1841.3420 117791.37 1771.5780 22231.340 382202.34 
2005 11 28.334946 388265.38 15454.566 949.22064 107.97331 40750.156 902.42505 348.17636 7125.8091 37.135948 1611.2280 29550.986 3109.1162 577.64648 488818.16 
2005 12 14.596790 478988.28 4575.4497 1384.1191 79.853027 18597.598 225.39162 653.63568 1422.1136 13.738155 935.26782 7991.3130 9727.0430 2.3612454 524610.75 
2006 01 93.161865 293125.66 7373.9546 650.63043 148.11449 4178.5459 70.408043 1060.1992 17306.641 51.088764 1644.2854 2973.4519 9340.6572 0.0000000 338016.78 
2006 02 53.664669 103862.81 6748.4395 1554.7728 148.97311 1207.4550 828.15314 1718.5573 27321.111 0.0000000 2210.5549 5375.4824 10834.253 0.42931733 161864.66 
2006 03 1558.4220 67435.664 3152.2627 7184.8403 273.68982 1673.2643 56.455231 4500.9629 33378.566 165.50185 4757.2656 10858.080 9134.5850 964.67609 145094.23 
